"KS test parameters: w_min = 0.2, w_max = 2, n_w = 12, d_c = 0.72, n_c = 2"
"Right column indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling"

year,jump
19.675,1
20.4295,-1
21.0315,1
21.785,-1
22.5375,1
22.9915,-1
24.0755,1
25.1,1
25.382,-1
27.13,-1
27.7555,1
28.5855,-1
29.3105,1
32.0805,-1
32.4405,1
33.3285,-1
33.84,1
34.3025,-1
34.603,1
34.91,-1
35.424,1
36.0385,1
36.4805,-1
36.8435,1
37.091,-1
38.115,1
38.741,-1
39.0285,1
40.338,-1
41.4225,1
42.0405,-1
43.012,1
44.564,-1
46.903,1
47.9925,1
48.18,-1
48.4695,1
49.452,1
49.791,1
50.193,-1
50.589,1
51.1195,-1
51.779,-1
52.2385,-1
53.6075,1
53.8565,-1
54.019,1
54.33,-1
54.558,1
55.105,-1
